Ticker,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Exchange,CQS Symbol,NASDAQ Symbol
BEAG,BOLD EAGLE ACQUISITION CORP. - CLASS A ORDINARY SHARES,G,N,N,100,N,N,Q,,
BEAGR,BOLD EAGLE ACQUISITION CORP. - RIGHT,G,N,N,100,N,N,Q,,
BEAGU,BOLD EAGLE ACQUISITION CORP. - UNITS,G,N,N,100,N,N,Q,,
BEAM,BEAM THERAPEUTICS INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
BEAT,"HEARTBEAM, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BEATW,"HEARTBEAM, INC. - WARRANT",S,N,N,100,N,N,Q,,
BEDU,"BRIGHT SCHOLAR EDUCATION HOLDINGS LIMITED AMERICAN DEPOSITARY SHARES, EACH  REPRESENTING FOUR CLASS A ORDINARY SHARE",,N,,100,N,,N,BEDU,BEDU
BEEM,BEAM GLOBAL - COMMON STOCK,S,N,N,100,N,N,Q,,
BEEP,MOBILE INFRASTRUCTURE CORPORATION - COMMON STOCK,G,N,N,100,N,N,Q,,
BEKE,KE HOLDINGS INC AMERICAN DEPOSITARY SHARES (EACH REPRESENTING THREE CLASS A ORDINARY SHARES),,N,,100,N,,N,BEKE,BEKE
BELFA,BEL FUSE INC. - CLASS A COMMON STOCK,Q,N,N,100,N,N,Q,,
BELFB,BEL FUSE INC. - CLASS B COMMON STOCK,Q,N,N,100,N,N,Q,,
BEN,"FRANKLIN RESOURCES, INC. COMMON STOCK",,N,,100,N,,N,BEN,BEN
BENF,BENEFICIENT - CLASS A COMMON STOCK,S,N,H,100,N,N,Q,,
BENFW,BENEFICIENT - WARRANT,S,N,H,100,N,N,Q,,
BEP,BROOKFIELD RENEWABLE PARTNERS L.P. LIMITED PARTNERSHIP UNITS,,N,,100,N,,N,BEP,BEP
BEP$A,"BROOKFIELD RENEWABLE PARTNERS L.P. 5.25% CLASS A PREFERRED LIMITED PARTNERSHIP UNITS, SERIES 17",,N,,100,N,,N,BEPPA,BEP-A
BEPC,BROOKFIELD RENEWABLE CORPORATION BROOKFIELD RENEWABLE CORPORATION CLASS A SUBORDINATE VOTING SHARES,,N,,100,N,,N,BEPC,BEPC
BEPH,BROOKFIELD BRP HOLDINGS (CANADA) INC. 4.625% PERPETUAL SUBORDINATED NOTES,,N,,100,N,,N,BEPH,BEPH
BEPI,BROOKFIELD BRP HOLDINGS (CANADA) INC. 4.875% PERPETUAL SUBORDINATED NOTES,,N,,100,N,,N,BEPI,BEPI
BEPJ,BROOKFIELD BRP HOLDINGS (CANADA) INC. 7.250% PERPETUAL SUBORDINATED NOTES,,N,,100,N,,N,BEPJ,BEPJ
BETR,BETTER HOME & FINANCE HOLDING COMPANY - CLASS A COMMON STOCK,G,N,N,100,N,N,Q,,
BETRW,BETTER HOME & FINANCE HOLDING COMPANY - WARRANT,G,N,N,100,N,N,Q,,
BF.A,BROWN FORMAN INC CLASS A COMMON STOCK,,N,,100,N,,N,BF.A,BF.A
BF.B,BROWN FORMAN INC CLASS B COMMON STOCK,,N,,100,N,,N,BF.B,BF.B
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. COMMON STOCK,,N,,100,N,,N,BFAM,BFAM
BFC,BANK FIRST CORPORATION - COMMON STOCK,S,N,N,100,N,N,Q,,
BFH,"BREAD FINANCIAL HOLDINGS, INC. COMMON STOCK",,N,,100,N,,N,BFH,BFH
BFIN,BANKFINANCIAL CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
BFK,BLACKROCK MUNICIPAL INCOME TRUST,,N,,100,N,,N,BFK,BFK
BFLY,"BUTTERFLY NETWORK, INC. CLASS A COMMON STOCK",,N,,100,N,,N,BFLY,BFLY
BFLY.W,"BUTTERFLY NETWORK, INC. WARRANTS",,N,,100,N,,N,BFLY.WS,BFLY+
BFRG,"BULLFROG AI HOLDINGS, INC. - COMMON STOCK",S,N,D,100,N,N,Q,,
BFRGW,"BULLFROG AI HOLDINGS, INC. - WARRANTS",S,N,D,100,N,N,Q,,
BFRI,BIOFRONTERA INC. - COMMON STOCK,S,N,D,100,N,N,Q,,
BFRIW,BIOFRONTERA INC. - WARRANTS,S,N,D,100,N,N,Q,,
BFS,"SAUL CENTERS, INC. COMMON STOCK",,N,,100,N,,N,BFS,BFS
BFS$D,"SAUL CENTERS, INC. DEPOSITARY SHARES, EACH REPRESENTING 1/100TH OF A SHARE OF 6.125% SERIES D CUMULATIVE REDEEMABLE PREFERRED STOCK",,N,,100,N,,N,BFSPD,BFS-D
BFS$E,"SAUL CENTERS, INC. DEPOSITARY SHARES, EACH REPRESENTING A 1/100TH FRACTIONAL INTEREST IN A SHARE OF 6.000% SERIES E CUMULATIVE REDEEMABLE PREFERRED STOCK",,N,,100,N,,N,BFSPE,BFS-E
BFST,"BUSINESS FIRST BANCSHARES, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BFZ,BLACKROCK CALIFORNIA MUNICIPAL INCOME TRUST,,N,,100,N,,N,BFZ,BFZ
BG,BUNGE LIMITED COMMON SHARES,,N,,100,N,,N,BG,BG
BGB,BLACKSTONE STRATEGIC CREDIT 2027 TERM FUND COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,BGB,BGB
BGC,"BGC GROUP, INC. - CLASS A COMMON STOCK",Q,N,N,100,N,N,Q,,
BGFV,BIG 5 SPORTING GOODS CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
BGH,BARINGS GLOBAL SHORT DURATION HIGH YIELD FUND COMMON SHARES OF BENEFICIAL INTERESTS,,N,,100,N,,N,BGH,BGH
BGL,BLUE GOLD LIMITED - CLASS A ORDINARY SHARES,G,N,N,100,N,N,Q,,
BGLC,BIONEXUS GENE LAB CORP - COMMON STOCK,S,N,N,100,N,N,Q,,
BGLWW,BLUE GOLD LIMITED - WARRANT,S,N,N,100,N,N,Q,,
BGM,BGM GROUP LTD. - CLASS A ORDINARY SHARES,S,N,N,100,N,N,Q,,
BGR,BLACKROCK ENERGY AND RESOURCES TRUST,,N,,100,N,,N,BGR,BGR
BGS,"B&G FOODS, INC. COMMON STOCK",,N,,100,N,,N,BGS,BGS
BGSF,"BGSF, INC. COMMON STOCK",,N,,100,N,,N,BGSF,BGSF
BGT,BLACKROCK FLOATING RATE INCOME TRUST,,N,,100,N,,N,BGT,BGT
BGX,BLACKSTONE LONG SHORT CREDIT INCOME FUND COMMON SHARES,,N,,100,N,,N,BGX,BGX
BGY,BLACKROCK ENHANCED INTERNATIONAL DIVIDEND TRUST,,N,,100,N,,N,BGY,BGY
BH,BIGLARI HOLDINGS INC. CLASS B COMMON STOCK,,N,,10,N,,N,BH,BH
BH.A,BIGLARI HOLDINGS INC. CLASS A COMMON STOCK,,N,,10,N,,N,BH.A,BH.A
BHAT,BLUE HAT INTERACTIVE ENTERTAINMENT TECHNOLOGY - ORDINARY SHARES,S,N,N,100,N,N,Q,,
BHC,BAUSCH HEALTH COMPANIES INC. COMMON STOCK,,N,,100,N,,N,BHC,BHC
BHE,"BENCHMARK ELECTRONICS, INC. COMMON STOCK",,N,,100,N,,N,BHE,BHE
BHF,"BRIGHTHOUSE FINANCIAL, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BHFAL,"BRIGHTHOUSE FINANCIAL, INC. - JUNIOR SUBORDINATED DEBENTURES DUE 2058",Q,N,N,100,N,N,Q,,
BHFAM,"BRIGHTHOUSE FINANCIAL, INC. - DEPOSITARY SHARES EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 4.625% NON-CUMULATIVE PREFERRED STOCK, SERIES D",Q,N,N,100,N,N,Q,,
BHFAN,"BRIGHTHOUSE FINANCIAL, INC. - DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 5.375% NON-CUMULATIVE PREFERRED STOCK, SERIES C",Q,N,N,100,N,N,Q,,
BHFAO,"BRIGHTHOUSE FINANCIAL, INC. - DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 6.750% NON-CUMULATIVE PREFERRED STOCK, SERIES B",Q,N,N,100,N,N,Q,,
BHFAP,"BRIGHTHOUSE FINANCIAL, INC. - DEPOSITARY SHARES 6.6% NON-CUMULATIVE PREFERRED STOCK, SERIES A",Q,N,N,100,N,N,Q,,
BHK,BLACKROCK CORE BOND TRUST,,N,,100,N,,N,BHK,BHK
BHLB,"BERKSHIRE HILLS BANCORP, INC. COMMON STOCK",,N,,100,N,,N,BHLB,BHLB
BHP,BHP GROUP LIMITED AMERICAN DEPOSITARY SHARES (EACH REPRESENTING TWO ORDINARY SHARES),,N,,100,N,,N,BHP,BHP
BHR,BRAEMAR HOTELS & RESORTS INC. COMMON STOCK,,N,,100,N,,N,BHR,BHR
BHR$B,"BRAEMAR HOTELS & RESORTS INC. 5.50% SERIES B CUMULATIVE CONVERTIBLE PREFERRED STOCK, PAR VALUE $0.01 PER SHARE",,N,,100,N,,N,BHRPB,BHR-B
BHR$D,"BRAEMAR HOTELS & RESORTS INC. 8.25% SERIES D CUMULATIVE PREFERRED STOCK,  PAR VALUE $0.01 PER SHARE",,N,,100,N,,N,BHRPD,BHR-D
BHRB,BURKE & HERBERT FINANCIAL SERVICES CORP. - COMMON STOCK,S,N,N,100,N,N,Q,,
BHST,BIOHARVEST SCIENCES INC. - COMMON STOCK,G,N,N,100,N,N,Q,,
BHV,BLACKROCK VIRGINIA MUNICIPAL BOND TRUST,,N,,100,N,,N,BHV,BHV
BHVN,BIOHAVEN LTD. COMMON SHARES,,N,,100,N,,N,BHVN,BHVN
BIAF,"BIOAFFINITY TECHNOLOGIES, INC. - COMMON STOCK",S,N,D,100,N,N,Q,,
BIAFW,"BIOAFFINITY TECHNOLOGIES, INC. - WARRANT",S,N,D,100,N,N,Q,,
BIDU,"BAIDU, INC. - AMERICAN DEPOSITARY SHARES, EACH REPRESENTING 8 ORDINARY SHARE",Q,N,N,100,N,N,Q,,
BIIB,BIOGEN INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
BILI,BILIBILI INC. - AMERICAN DEPOSITARY SHARES,Q,N,N,100,N,N,Q,,
BILL,"BILL HOLDINGS, INC. COMMON STOCK",,N,,100,N,,N,BILL,BILL
BINI,"BOLLINGER INNOVATIONS, INC. - COMMON STOCK",S,N,D,100,N,N,Q,,
BIO,"BIO-RAD LABORATORIES, INC. CLASS A COMMON STOCK",,N,,100,N,,N,BIO,BIO
BIO.B,"BIO-RAD LABORATORIES, INC. CLASS B  COMMON STOCK",,N,,100,N,,N,BIO.B,BIO.B
BIOA,"BIOAGE LABS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BIOX,BIOCERES CROP SOLUTIONS CORP. - ORDINARY SHARES,Q,N,N,100,N,N,Q,,
BIP,BROOKFIELD INFRASTRUCTURE PARTNERS LP LIMITED PARTNERSHIP UNITS,,N,,100,N,,N,BIP,BIP
BIP$A,"BROOKFIELD INFRASTRUCTURE PARTNERS LP 5.125% CLASS A PREFERRED LIMITED PARTNERSHIP UNITS, SERIES 13",,N,,100,N,,N,BIPPA,BIP-A
BIP$B,"BROOKFIELD INFRASTRUCTURE PARTNERS LP 5.000% CLASS A PREFERRED LIMITED PARTNERSHIP UNITS, SERIES 14",,N,,100,N,,N,BIPPB,BIP-B
BIPC,BROOKFIELD INFRASTRUCTURE CORPORATION BROOKFIELD INFRASTRUCTURE CORPORATION,,N,,100,N,,N,BIPC,BIPC
BIPH,BROOKFIELD INFRASTRUCTURE CORPORATION 5.000% SUBORDINATED NOTES DUE 2081,,N,,100,N,,N,BIPH,BIPH
BIPI,BIP BERMUDA HOLDINGS I LIMITED 5.125% PERPETUAL SUBORDINATED NOTES,,N,,100,N,,N,BIPI,BIPI
BIPJ,BROOKFIELD INFRASTRUCTURE CORPORATION 7.250% SUBORDINATED NOTES DUE 2084,,N,,100,N,,N,BIPJ,BIPJ
BIRD,"ALLBIRDS, INC. - CLASS A COMMON STOCK",Q,N,N,100,N,N,Q,,
BIRK,BIRKENSTOCK HOLDING PLC ORDINARY SHARES,,N,,100,N,,N,BIRK,BIRK
BIT,BLACKROCK MULTI-SECTOR INCOME TRUST COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,BIT,BIT
BIT.R,"BLACKROCK MULTI-SECTOR INCOME TRUST RIGHTS (EXPIRING SEPTEMBER 9, 2025) RIGHTS",,N,,100,N,,N,BITR,BIT^
BITF,BITFARMS LTD. - COMMON STOCK,G,N,N,100,N,N,Q,,
BIVI,BIOVIE INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
BIVIW,BIOVIE INC. - WARRANT,S,N,N,100,N,N,Q,,
BIYA,BAIYA INTERNATIONAL GROUP INC.  - ORDINARY SHARES,S,N,D,100,N,N,Q,,
BJ,"BJ'S WHOLESALE CLUB HOLDINGS, INC. COMMON STOCK",,N,,100,N,,N,BJ,BJ
BJDX,"BLUEJAY DIAGNOSTICS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BJRI,"BJ'S RESTAURANTS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BK,THE BANK OF NEW YORK MELLON CORPORATION COMMON STOCK,,N,,100,N,,N,BK,BK
BK$K,"THE BANK OF NEW YORK MELLON CORPORATION  DEPOSITARY SHARES, EACH REPRESENTING A 1/4,000TH INTEREST IN A SHARE OF SERIES K NONCUMULATIVE PERPETUAL PREFERRED STOCK",,N,,100,N,,N,BKPK,BK-K
BKD,BROOKDALE SENIOR LIVING INC. COMMON STOCK,,N,,100,N,,N,BKD,BKD
BKE,"BUCKLE, INC. (THE) COMMON STOCK",,N,,100,N,,N,BKE,BKE
BKH,BLACK HILLS CORPORATION COMMON STOCK,,N,,100,N,,N,BKH,BKH
BKHA,BLACK HAWK ACQUISITION CORPORATION - CLASS A ORDINARY SHARES,G,N,N,100,N,N,Q,,
BKHAR,BLACK HAWK ACQUISITION CORPORATION - RIGHTS,G,N,N,100,N,N,Q,,
BKHAU,BLACK HAWK ACQUISITION CORPORATION - UNITS,G,N,N,100,N,N,Q,,
BKKT,"BAKKT HOLDINGS, INC. CLASS A COMMON STOCK",,N,,100,N,,N,BKKT,BKKT
BKKT.W,"BAKKT HOLDINGS, INC. WARRANT",,N,,100,N,,N,BKKT.WS,BKKT+
BKN,BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST INC. (THE),,N,,100,N,,N,BKN,BKN
BKNG,BOOKING HOLDINGS INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
BKR,BAKER HUGHES COMPANY - COMMON STOCK,Q,N,N,100,N,N,Q,,
BKSY,BLACKSKY TECHNOLOGY INC. CLASS A COMMON STOCK,,N,,100,N,,N,BKSY,BKSY
BKSY.W,"BLACKSKY TECHNOLOGY INC. REDEEMABLE WARRANTS, EACH WHOLE WARRANT EXERCISABLE FOR ONE SHARE OF CLASS A COMMON STOCK",,N,,100,N,,N,BKSY.WS,BKSY+
BKT,BLACKROCK INCOME TRUST INC. (THE),,N,,100,N,,N,BKT,BKT
BKU,"BANKUNITED, INC. COMMON STOCK",,N,,100,N,,N,BKU,BKU
BKV,BKV CORPORATION COMMON STOCK,,N,,100,N,,N,BKV,BKV
BKYI,"BIO-KEY INTERNATIONAL, INC. - COMMON STOCK",S,N,D,100,N,N,Q,,
BL,"BLACKLINE, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BLBD,BLUE BIRD CORPORATION - COMMON STOCK,G,N,N,100,N,N,Q,,
BLBX,BLACKBOXSTOCKS INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
BLCO,BAUSCH + LOMB CORPORATION COMMON SHARES,,N,,100,N,,N,BLCO,BLCO
BLD,TOPBUILD CORP. COMMON STOCK,,N,,100,N,,N,BLD,BLD
BLDP,"BALLARD POWER SYSTEMS, INC. - COMMON SHARES",G,N,N,100,N,N,Q,,
BLDR,"BUILDERS FIRSTSOURCE, INC. COMMON STOCK",,N,,100,N,,N,BLDR,BLDR
BLE,BLACKROCK MUNICIPAL INCOME TRUST II,,N,,100,N,,N,BLE,BLE
BLFS,"BIOLIFE SOLUTIONS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BLFY,BLUE FOUNDRY BANCORP - COMMON STOCK,Q,N,N,100,N,N,Q,,
BLIN,"BRIDGELINE DIGITAL, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BLIV,BELIVE HOLDINGS - ORDINARY SHARES,S,N,N,100,N,N,Q,,
BLK,"BLACKROCK, INC. COMMON STOCK",,N,,100,N,,N,BLK,BLK
BLKB,"BLACKBAUD, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BLMN,"BLOOMIN' BRANDS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BLMZ,HARRISON GLOBAL HOLDINGS INC. - ORDINARY SHARES,S,N,D,100,N,N,Q,,
BLND,"BLEND LABS, INC. CLASS A COMMON STOCK",,N,,100,N,,N,BLND,BLND
BLNE,"BEELINE HOLDINGS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BLNK,BLINK CHARGING CO. - COMMON STOCK,S,N,D,100,N,N,Q,,
BLRX,BIOLINERX LTD. - AMERICAN DEPOSITARY SHARES,S,N,N,100,N,N,Q,,
BLSH,BULLISH ORDINARY SHARES,,N,,100,N,,N,BLSH,BLSH
BLTE,"BELITE BIO, INC - AMERICAN DEPOSITARY SHARES",S,N,N,100,N,N,Q,,
BLUW,BLUE WATER ACQUISITION CORP. III - CLASS A ORDINARY SHARES,G,N,N,100,N,N,Q,,
BLUWU,BLUE WATER ACQUISITION CORP. III - UNIT.,G,N,N,100,N,N,Q,,
BLUWW,BLUE WATER ACQUISITION CORP. III - WARRANT.,G,N,N,100,N,N,Q,,
BLW,BLACKROCK LIMITED DURATION INCOME TRUST,,N,,100,N,,N,BLW,BLW
BLX,"BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A.",,N,,100,N,,N,BLX,BLX
BLZE,"BACKBLAZE, INC. - COMMON STOCK",G,N,N,100,N,N,Q,,
BMA,BANCO MACRO S.A.  ADR (REPRESENTING TEN CLASS B COMMON SHARES),,N,,100,N,,N,BMA,BMA
BMBL,BUMBLE INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
BME,BLACKROCK HEALTH SCIENCES TRUST,,N,,100,N,,N,BME,BME
BMEA,"BIOMEA FUSION, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BMEZ,BLACKROCK HEALTH SCIENCES TERM TRUST COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,BMEZ,BMEZ
BMGL,BASEL MEDICAL GROUP LTD - ORDINARY SHARES,S,N,N,100,N,N,Q,,
BMHL,BLUEMOUNT HOLDINGS LIMITED - CLASS B ORDINARY SHARES,S,N,N,100,N,N,Q,,
BMI,"BADGER METER, INC. COMMON STOCK",,N,,100,N,,N,BMI,BMI
BML$G,"BANK OF AMERICA CORPORATION DEPOSITARY SHARES (EACH REPRESENTING A 1/1200TH INTEREST IN A SHARE OF FLOATING RATE NON-CUMULATIVE PREFERRED STOCK , SERIES 1)",,N,,100,N,,N,BMLPG,BML-G
BML$H,"BANK OF AMERICA CORPORATION DEPOSITARY SHARES (EACH REPRESENTING A 1/1200TH INTEREST IN A SHARE OF FLOATING RATE NON-CUMULATIVE PREFERRED STOCK, SERIES 2)",,N,,100,N,,N,BMLPH,BML-H
BML$J,"BANK OF AMERICA CORPORATION DEPOSITARY SHARES (EACH REPRESENTING A 1/1200TH INTEREST IN A SHARE OF FLOATING RATE NON-CUMULATIVE PREFERRED STOCK, SERIES 4)",,N,,100,N,,N,BMLPJ,BML-J
BML$L,"BANK OF AMERICA CORPORATION DEPOSITARY SHARES (EACH REPRESENTING A 1/1200TH INTEREST IN A SHARE OF FLOATING RATE NON-CUMULATIVE PREFERRED STOCK, SERIES 5)",,N,,100,N,,N,BMLPL,BML-L
BMN,BLACKROCK 2037 MUNICIPAL TARGET TERM TRUST COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,BMN,BMN
BMO,BANK OF MONTREAL COMMON STOCK,,N,,100,N,,N,BMO,BMO
BMR,BEAMR IMAGING LTD. - ORDINARY SHARE,S,N,N,100,N,N,Q,,
BMRA,"BIOMERICA, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BMRC,BANK OF MARIN BANCORP - COMMON STOCK,S,N,N,100,N,N,Q,,
BMRN,BIOMARIN PHARMACEUTICAL INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
BMY,BRISTOL-MYERS SQUIBB COMPANY COMMON STOCK,,N,,100,N,,N,BMY,BMY
BN,BROOKFIELD CORPORATION CLASS A LIMITED VOTING SHARES,,N,,100,N,,N,BN,BN
BNAI,BRAND ENGAGEMENT NETWORK INC. - COMMON STOCK,S,N,H,100,N,N,Q,,
BNAIW,BRAND ENGAGEMENT NETWORK INC. - WARRANT,S,N,E,100,N,N,Q,,
BNC,CEA INDUSTRIES INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
BNCWW,CEA INDUSTRIES INC. - WARRANT,S,N,N,100,N,N,Q,,
BNED,"BARNES & NOBLE EDUCATION, INC COMMON STOCK",,N,,100,N,,N,BNED,BNED
BNGO,"BIONANO GENOMICS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BNH,"BROOKFIELD FINANCE INC. 4.625% SUBORDINATED NOTES DUE OCTOBER 16, 2080",,N,,100,N,,N,BNH,BNH
BNJ,BROOKFIELD FINANCE INC. 4.50% PERPETUAL SUBORDINATED NOTES,,N,,100,N,,N,BNJ,BNJ
BNL,"BROADSTONE NET LEASE, INC. COMMON STOCK",,N,,100,N,,N,BNL,BNL
BNR,BURNING ROCK BIOTECH LIMITED - AMERICAN DEPOSITARY SHARES,G,N,N,100,N,N,Q,,
BNRG,BRENMILLER ENERGY LTD - ORDINARY SHARES,S,N,N,100,N,N,Q,,
BNS,BANK NOVA SCOTIA HALIFAX PFD 3 ORDINARY SHARES,,N,,100,N,,N,BNS,BNS
BNT,BROOKFIELD WEALTH SOLUTIONS LTD. CLASS A EXCHANGEABLE LIMITED VOTING SHARES,,N,,100,N,,N,BNT,BNT
BNTC,BENITEC BIOPHARMA INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
BNTX,BIONTECH SE - AMERICAN DEPOSITARY SHARES,Q,N,N,100,N,N,Q,,
BNY,BLACKROCK NEW YORK MUNICIPAL INCOME TRUST,,N,,100,N,,N,BNY,BNY
BNZI,"BANZAI INTERNATIONAL, INC. - CLASS A COMMON STOCK",S,N,N,100,N,N,Q,,
BNZIW,"BANZAI INTERNATIONAL, INC. - WARRANT",S,N,N,100,N,N,Q,,
BOC,BOSTON OMAHA CORPORATION CLASS A COMMON STOCK,,N,,100,N,,N,BOC,BOC
BODI,"THE BEACHBODY COMPANY, INC. CLASS A COMMON STOCK",,N,,100,N,,N,BODI,BODI
BOE,BLACKROCK ENHANCED GLOBAL DIVIDEND TRUST COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,BOE,BOE
BOF,BRANCHOUT FOOD INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
BOH,BANK OF HAWAII CORPORATION COMMON STOCK,,N,,100,N,,N,BOH,BOH
BOH$A,"BANK OF HAWAII CORPORATION DEPOSITARY SHARES EACH REPRESENTING A 1/40TH INTEREST IN A SHARE OF 4.375% FIXED RATE NON-CUMULATIVE PERPETUAL PREFERRED STOCK, SERIES A",,N,,100,N,,N,BOHPA,BOH-A
BOH$B,"BANK OF HAWAII CORPORATION DEPOSITARY SHARES, EACH REPRESENTING A 1/40TH INTEREST IN A SHARE OF 8.000% FIXED RATE NON-CUMULATIVE PERPETUAL PREFERRED STOCK, SERIES B",,N,,100,N,,N,BOHPB,BOH-B
BOKF,BOK FINANCIAL CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
BOLD,"BOUNDLESS BIO, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BOLT,"BOLT BIOTHERAPEUTICS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BON,BON NATURAL LIFE LIMITED - CLASS A ORDINARY SHARES,S,N,N,100,N,N,Q,,
BOOM,DMC GLOBAL INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
BOOT,"BOOT BARN HOLDINGS, INC. COMMON STOCK",,N,,100,N,,N,BOOT,BOOT
BORR,BORR DRILLING LIMITED COMMON SHARES,,N,,100,N,,N,BORR,BORR
BOSC,B.O.S. BETTER ONLINE SOLUTIONS - ORDINARY SHARES,S,N,N,100,N,N,Q,,
BOTJ,"BANK OF THE JAMES FINANCIAL GROUP, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
BOW,BOWHEAD SPECIALTY HOLDINGS INC. COMMON STOCK,,N,,100,N,,N,BOW,BOW
BOWN,BOWEN ACQUISITION CORP - ORDINARY SHARES,G,N,D,100,N,N,Q,,
BOWNR,BOWEN ACQUISITION CORP - RIGHTS,G,N,D,100,N,N,Q,,
BOWNU,BOWEN ACQUISITION CORP - UNIT,G,N,D,100,N,N,Q,,
BOX,"BOX, INC. CLASS A COMMON STOCK",,N,,100,N,,N,BOX,BOX
BOXL,BOXLIGHT CORPORATION - CLASS A COMMON STOCK,S,N,D,100,N,N,Q,,
BP,BP P.L.C. COMMON STOCK,,N,,100,N,,N,BP,BP
BPOP,"POPULAR, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BPOPM,"POPULAR, INC. - POPULAR CAPITAL TRUST II - 6.125% CUMULATIVE MONTHLY INCOME TRUST PREFERRED SECURITIES",Q,N,N,100,N,N,Q,,
BPRN,"PRINCETON BANCORP, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
BPYPM,"BROOKFIELD PROPERTY PARTNERS L.P. - 6.25% CLASS A CUMULATIVE REDEEMABLE PREFERRED UNITS, SERIES 1",Q,N,N,100,N,N,Q,,
BPYPN,"BROOKFIELD PROPERTY PARTNERS L.P. - 5.750% CLASS A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED UNITS, SERIES 3",Q,N,N,100,N,N,Q,,
BPYPO,"BROOKFIELD PROPERTY PARTNERS L.P. - 6.375% CLASS A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED UNITS, SERIES 2",Q,N,N,100,N,N,Q,,
BPYPP,BROOKFIELD PROPERTY PARTNERS L.P. - 6.50% CLASS A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED UNITS,Q,N,N,100,N,N,Q,,
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC. COMMON STOCK",,N,,100,N,,N,BR,BR
BRAG,BRAGG GAMING GROUP INC. - COMMON SHARES,Q,N,N,100,N,N,Q,,
BRBR,"BELLRING BRANDS, INC. COMMON STOCK",,N,,100,N,,N,BRBR,BRBR
BRC,BRADY CORPORATION COMMON STOCK,,N,,100,N,,N,BRC,BRC
BRCC,BRC INC. CLASS A COMMON STOCK,,N,,100,N,,N,BRCC,BRCC
BRDG,BRIDGE INVESTMENT GROUP HOLDINGS INC. CLASS A COMMON STOCK,,N,,100,N,,N,BRDG,BRDG
BREA,BRERA HOLDINGS PLC - CLASS B ORDINARY SHARES,S,N,N,100,N,N,Q,,
BRFH,BARFRESH FOOD GROUP INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
BRFS,BRF S.A.,,N,,100,N,,N,BRFS,BRFS
BRID,BRIDGFORD FOODS CORPORATION - COMMON STOCK,G,N,N,100,N,N,Q,,
BRK.A,BERKSHIRE HATHAWAY INC. COMMON STOCK,,N,,1,N,,N,BRK.A,BRK.A
